epoch,video,frames,ap50,recall,zero_det_frames
83,data11,745,87.03,87.79,78
83,data12,1500,100.00,100.00,0
83,data15,751,6.26,20.77,418
83,data18,500,88.37,89.80,43
83,data20,400,86.89,87.00,41
83,data21,500,11.28,35.00,135
84,data6,399,75.76,77.69,78
84,data11,745,87.04,87.79,78
84,data12,1500,100.00,100.00,0
84,data15,751,6.05,19.97,424
84,data18,500,88.27,89.60,44
84,data20,400,86.01,86.75,44
84,data21,500,11.79,35.40,140
85,data6,399,75.64,77.19,80
85,data11,745,87.04,87.65,80
85,data12,1500,100.00,100.00,0
85,data15,751,6.51,20.11,424
85,data18,500,88.21,89.40,46
85,data20,400,86.01,86.75,44
85,data21,500,12.27,35.60,140
86,data6,399,75.64,77.19,77
86,data11,745,87.04,87.65,77
86,data12,1500,100.00,100.00,0
86,data15,751,6.41,20.51,421
86,data18,500,88.18,89.20,47
86,data20,400,86.89,87.00,44
86,data21,500,12.70,36.00,140
87,data6,399,74.86,76.69,75
87,data11,745,87.01,87.52,75
87,data12,1500,100.00,100.00,0
87,data15,751,6.41,20.11,423
87,data18,500,87.40,88.80,49
87,data20,400,86.90,87.00,45
87,data21,500,13.01,36.20,138
88,data6,399,74.73,76.94,74
88,data11,745,87.00,87.65,74
88,data12,1500,100.00,100.00,0
88,data15,751,6.05,19.84,424
88,data18,500,87.41,88.60,50
88,data20,400,86.00,86.75,46
88,data21,500,12.41,35.60,141
89,data6,399,74.70,76.94,72
89,data11,745,86.98,87.65,72
89,data12,1500,100.00,100.00,0
89,data15,751,6.04,19.71,425
89,data18,500,87.40,88.60,50
89,data20,400,86.00,86.75,45
89,data21,500,12.42,35.40,140
90,data6,399,75.39,77.19,72
90,data11,745,86.98,87.79,72
90,data12,1500,100.00,100.00,0
90,data15,751,6.13,19.31,428
90,data18,500,87.39,88.40,51
90,data20,400,85.99,86.75,45
90,data21,500,12.46,35.20,145
91,data6,399,74.67,76.94,71
91,data11,745,86.97,87.79,71
91,data12,1500,100.00,100.00,0
91,data15,751,6.01,19.04,428
91,data18,500,87.38,88.00,52
91,data20,400,85.98,86.75,44
91,data21,500,12.49,34.80,148
92,data6,399,74.60,76.94,71
92,data11,745,86.95,87.79,71
92,data12,1500,100.00,100.00,0
92,data15,751,5.66,18.77,430
92,data18,500,86.51,87.80,52
92,data20,400,85.98,86.75,44
92,data21,500,12.73,35.00,155
93,data6,399,74.57,76.44,72
93,data11,745,86.92,87.52,72
93,data12,1500,100.00,100.00,0
93,data15,751,5.64,18.64,435
93,data18,500,86.50,87.80,52
93,data20,400,85.98,86.75,44
93,data21,500,13.02,34.80,162
94,data6,399,74.55,76.44,72
94,data11,745,86.90,87.52,72
94,data12,1500,100.00,100.00,0
94,data15,751,5.66,18.24,439
94,data18,500,86.50,87.80,53
94,data20,400,85.99,86.75,44
94,data21,500,13.46,34.80,165
95,data6,399,73.83,75.94,73
95,data11,745,86.88,87.52,71
95,data12,1500,100.00,100.00,0
95,data15,751,5.67,18.11,440
95,data18,500,86.49,87.60,54
95,data20,400,85.99,86.75,45
95,data21,500,14.16,35.20,170
96,data6,399,73.82,75.94,73
96,data11,745,86.86,87.52,71
96,data12,1500,100.00,100.00,0
96,data15,751,5.38,17.98,441
96,data18,500,86.47,87.40,54
96,data20,400,86.00,86.75,45
96,data21,500,14.35,35.00,173
97,data6,399,73.78,75.44,73
97,data11,745,86.87,87.38,71
97,data12,1500,100.00,100.00,0
97,data15,751,5.34,17.71,441
97,data18,500,86.45,87.40,54
97,data20,400,86.00,86.75,45
97,data21,500,14.67,34.80,176
98,data6,399,73.80,75.19,74
98,data11,745,86.88,87.38,71
98,data12,1500,100.00,100.00,0
98,data15,751,5.32,17.71,441
98,data18,500,86.45,87.40,54
98,data20,400,86.00,86.75,44
98,data21,500,14.76,34.60,176
99,data6,399,73.82,75.19,75
99,data11,745,86.88,87.38,72
99,data12,1500,100.00,100.00,0
99,data15,751,5.39,17.71,440
99,data18,500,86.47,87.40,54
99,data20,400,86.00,86.75,44
99,data21,500,14.93,34.40,179
100,data6,399,73.82,75.19,75
100,data11,745,86.88,87.38,72
100,data12,1500,100.00,100.00,0
100,data15,751,5.44,17.44,443
100,data18,500,86.46,87.40,54
100,data20,400,86.00,86.75,44
100,data21,500,15.14,34.40,181
